		#naca0018		
#group	#point	#x_cord	#y_cord	#z_cord
1	315	0,33618	0,089576	0,0000
1	316	0,33804	0,089532	0,0000
1	317	0,3399	0,089486	0,0000
1	318	0,34176	0,089438	0,0000
1	319	0,34363	0,089387	0,0000
1	320	0,34549	0,089335	0,0000
1	321	0,34736	0,089281	0,0000
1	322	0,34923	0,089225	0,0000
1	323	0,3511	0,089166	0,0000
1	324	0,35298	0,089106	0,0000
1	325	0,35486	0,089044	0,0000
1	326	0,35674	0,088979	0,0000
1	327	0,35862	0,088913	0,0000
1	328	0,3605	0,088845	0,0000
1	329	0,36239	0,088774	0,0000
1	330	0,36428	0,088702	0,0000
1	331	0,36617	0,088628	0,0000
1	332	0,36806	0,088552	0,0000
1	333	0,36996	0,088474	0,0000
1	334	0,37186	0,088394	0,0000
1	335	0,37375	0,088312	0,0000
1	336	0,37566	0,088228	0,0000
1	337	0,37756	0,088142	0,0000
1	338	0,37946	0,088054	0,0000
1	339	0,38137	0,087965	0,0000
1	340	0,38328	0,087873	0,0000
1	341	0,38519	0,08778	0,0000
1	342	0,3871	0,087685	0,0000
1	343	0,38901	0,087588	0,0000
1	344	0,39093	0,087489	0,0000
1	345	0,39285	0,087388	0,0000
1	346	0,39476	0,087285	0,0000
1	347	0,39668	0,087181	0,0000
1	348	0,39861	0,087075	0,0000
1	349	0,40053	0,086967	0,0000
1	350	0,40245	0,086857	0,0000
1	351	0,40438	0,086745	0,0000
1	352	0,40631	0,086632	0,0000
1	353	0,40824	0,086517	0,0000
1	354	0,41017	0,0864	0,0000
1	355	0,4121	0,086281	0,0000
1	356	0,41404	0,086161	0,0000
1	357	0,41597	0,086039	0,0000
1	358	0,41791	0,085915	0,0000
1	359	0,41984	0,08579	0,0000
1	360	0,42178	0,085662	0,0000
1	361	0,42372	0,085533	0,0000
1	362	0,42566	0,085403	0,0000
1	363	0,42761	0,085271	0,0000
1	364	0,42955	0,085137	0,0000
1	365	0,43149	0,085001	0,0000
1	366	0,43344	0,084864	0,0000
1	367	0,43539	0,084725	0,0000
1	368	0,43733	0,084584	0,0000
1	369	0,43928	0,084442	0,0000
1	370	0,44123	0,084299	0,0000
1	371	0,44318	0,084153	0,0000
1	372	0,44513	0,084006	0,0000
1	373	0,44708	0,083858	0,0000
1	374	0,44904	0,083708	0,0000
1	375	0,45099	0,083556	0,0000
1	376	0,45295	0,083403	0,0000
1	377	0,4549	0,083249	0,0000
1	378	0,45686	0,083093	0,0000
1	379	0,45881	0,082935	0,0000
1	380	0,46077	0,082776	0,0000
1	381	0,46273	0,082615	0,0000
1	382	0,46469	0,082453	0,0000
1	383	0,46665	0,082289	0,0000
1	384	0,4686	0,082124	0,0000
1	385	0,47056	0,081958	0,0000
1	386	0,47252	0,08179	0,0000
1	387	0,47449	0,08162	0,0000
1	388	0,47645	0,081449	0,0000
1	389	0,47841	0,081277	0,0000
1	390	0,48037	0,081103	0,0000
1	391	0,48233	0,080928	0,0000
1	392	0,48429	0,080752	0,0000
1	393	0,48626	0,080574	0,0000
1	394	0,48822	0,080395	0,0000
1	395	0,49018	0,080215	0,0000
